quarter,cfoa,capex,fcf
Q3 2008,-1043994000.0,,
Q4 2008,43003000.0,,
Q1 2009,-19845000.0,,
Q2 2009,,,
Q3 2009,27885000.0,,
Q4 2009,141317000.0,,
Q1 2010,69245000.0,,
Q2 2010,,,
Q3 2010,-458860000.0,,
Q4 2010,212177000.0,,
Q1 2011,434673000.0,-20289000.0,454962000.0
Q2 2011,172200000.0,-31195000.0,203395000.0
Q3 2011,82021000.0,-23323000.0,105344000.0
Q4 2011,244417000.0,-39035000.0,283452000.0
Q1 2012,410518000.0,-45182000.0,455700000.0
Q2 2012,-9208000.0,-28923000.0,19715000.0
Q3 2012,200886000.0,-61944000.0,262830000.0
Q4 2012,181485000.0,-44684000.0,226169000.0
Q1 2013,451009000.0,,
Q2 2013,175650000.0,-65667000.0,241317000.0
Q3 2013,96469000.0,-84986000.0,181455000.0
Q4 2013,162315000.0,-38159000.0,200474000.0
Q1 2014,400712000.0,,
Q2 2014,151022000.0,-29068000.0,180090000.0
Q3 2014,96282000.0,-22527000.0,118809000.0
Q4 2014,215623000.0,-39741000.0,255364000.0
Q1 2015,442729000.0,,
Q2 2015,246000000.0,-30000000.0,276000000.0
Q3 2015,163000000.0,-24000000.0,187000000.0
Q4 2015,255000000.0,-17000000.0,272000000.0
Q1 2016,511000000.0,,
Q2 2016,309000000.0,-55000000.0,364000000.0
Q3 2016,184000000.0,-32000000.0,216000000.0
Q4 2016,458000000.0,-38000000.0,496000000.0
Q1 2017,721000000.0,,
Q2 2017,282000000.0,-54000000.0,336000000.0
Q3 2017,705000000.0,-54000000.0,759000000.0
Q4 2017,1157000000.0,-69000000.0,1226000000.0
Q1 2018,1358000000.0,,
Q2 2018,1445000000.0,-118000000.0,1563000000.0
Q3 2018,913000000.0,-129000000.0,1042000000.0
Q4 2018,487000000.0,-150000000.0,637000000.0
Q1 2019,898000000.0,,
Q2 2019,720000000.0,-128000000.0,848000000.0
Q3 2019,936000000.0,-113000000.0,1049000000.0
Q4 2019,1640000000.0,-103000000.0,1743000000.0
Q1 2020,1465000000.0,,
Q2 2020,909000000.0,-155000000.0,1064000000.0
Q3 2020,1567000000.0,-217000000.0,1784000000.0
Q4 2020,1279000000.0,,
Q1 2021,2067000000.0,,
Q2 2021,1874000000.0,,
Q3 2021,2682000000.0,,
Q4 2021,1519000000.0,,
Q1 2022,3033000000.0,,
Q2 2022,1731000000.0,,
Q3 2022,1270000000.0,,
Q4 2022,392000000.0,,
Q1 2023,2248000000.0,,
Q2 2023,2911000000.0,,
Q3 2023,6348000000.0,,
Q4 2023,7332000000.0,,
Q1 2024,11499000000.0,,
Q2 2024,15345000000.0,,
Q3 2024,14488000000.0,,
Q4 2024,17627000000.0,,
Q1 2025,16629000000.0,,
Q2 2025,27414000000.0,,
