quarter,gross_profit,operating_income,net_income
Q2 2009,-1368000000.0,1408000000.0,2347000000.0
Q3 2009,585000000.0,-77000000.0,-135000000.0
Q4 2009,735000000.0,1288000000.0,1177000000.0
Q1 2010,741000000.0,182000000.0,257000000.0
Q2 2010,738000000.0,125000000.0,-43000000.0
Q3 2010,739000000.0,128000000.0,-118000000.0
Q4 2010,743000000.0,413000000.0,375000000.0
Q1 2011,,,
Q2 2011,691000000.0,54000000.0,39000000.0
Q3 2011,720000000.0,105000000.0,61000000.0
Q4 2011,756000000.0,138000000.0,-19000000.0
Q4 2011,756000000.0,138000000.0,-19000000.0
Q4 2011,756000000.0,71000000.0,-19000000.0
Q4 2011,756000000.0,71000000.0,-19000000.0
Q4 2011,773000000.0,138000000.0,-19000000.0
Q4 2011,773000000.0,138000000.0,-19000000.0
Q4 2011,773000000.0,71000000.0,-19000000.0
Q4 2011,773000000.0,71000000.0,-19000000.0
Q1 2012,27000000.0,-580000000.0,-590000000.0
Q2 2012,638000000.0,77000000.0,-1044000000.0
Q3 2012,392000000.0,-131000000.0,-157000000.0
Q4 2012,178000000.0,-422000000.0,-473000000.0
Q1 2013,445000000.0,-98000000.0,-146000000.0
Q2 2013,459000000.0,-29000000.0,-74000000.0
Q3 2013,521000000.0,95000000.0,48000000.0
Q4 2013,553000000.0,135000000.0,89000000.0
Q1 2014,487000000.0,49000000.0,-20000000.0
Q2 2014,498000000.0,63000000.0,-36000000.0
Q3 2014,494000000.0,63000000.0,17000000.0
Q4 2014,360000000.0,-330000000.0,-364000000.0
Q1 2015,326000000.0,-137000000.0,-180000000.0
Q2 2015,232000000.0,-137000000.0,-181000000.0
Q3 2015,239000000.0,-158000000.0,-197000000.0
Q4 2015,283000000.0,-49000000.0,-102000000.0
Q1 2016,269000000.0,-68000000.0,-109000000.0
Q2 2016,319000000.0,-8000000.0,69000000.0
Q3 2016,59000000.0,-293000000.0,-406000000.0
Q4 2016,351000000.0,-3000000.0,395000000.0
Q1 2017,,,
Q2 2017,331000000.0,-29000000.0,-73000000.0
Q3 2017,404000000.0,25000000.0,-16000000.0
Q3 2017,404000000.0,25000000.0,71000000.0
Q3 2017,404000000.0,126000000.0,-16000000.0
Q3 2017,404000000.0,126000000.0,71000000.0
Q3 2017,573000000.0,25000000.0,-16000000.0
Q3 2017,573000000.0,25000000.0,71000000.0
Q3 2017,573000000.0,126000000.0,-16000000.0
Q3 2017,573000000.0,126000000.0,71000000.0
Q4 2017,515000000.0,82000000.0,61000000.0
Q1 2018,597000000.0,120000000.0,81000000.0
Q2 2018,652000000.0,153000000.0,116000000.0
Q3 2018,661000000.0,150000000.0,102000000.0
Q4 2018,537000000.0,28000000.0,38000000.0
Q1 2019,521000000.0,38000000.0,16000000.0
Q2 2019,621000000.0,59000000.0,35000000.0
Q3 2019,777000000.0,186000000.0,120000000.0
Q4 2019,949000000.0,348000000.0,170000000.0
Q1 2020,818000000.0,177000000.0,162000000.0
Q2 2020,848000000.0,173000000.0,157000000.0
Q3 2020,1230000000.0,449000000.0,390000000.0
Q4 2020,1451000000.0,570000000.0,1781000000.0
Q1 2021,1587000000.0,662000000.0,555000000.0
Q2 2021,1830000000.0,831000000.0,710000000.0
Q3 2021,2086000000.0,948000000.0,923000000.0
Q4 2021,2426000000.0,1207000000.0,974000000.0
Q1 2022,2818000000.0,951000000.0,786000000.0
Q2 2022,3028000000.0,526000000.0,447000000.0
Q3 2022,2354000000.0,-64000000.0,66000000.0
Q4 2022,2403000000.0,-149000000.0,21000000.0
Q1 2023,,,
Q2 2023,2359000000.0,-145000000.0,-139000000.0
Q3 2023,2443000000.0,-20000000.0,27000000.0
Q3 2023,2443000000.0,-20000000.0,299000000.0
Q3 2023,2443000000.0,224000000.0,27000000.0
Q3 2023,2443000000.0,224000000.0,299000000.0
Q3 2023,2747000000.0,-20000000.0,27000000.0
Q3 2023,2747000000.0,-20000000.0,299000000.0
Q3 2023,2747000000.0,224000000.0,27000000.0
Q3 2023,2747000000.0,224000000.0,299000000.0
Q4 2023,2911000000.0,342000000.0,667000000.0
Q1 2024,2560000000.0,36000000.0,123000000.0
Q2 2024,2864000000.0,269000000.0,265000000.0
Q3 2024,3419000000.0,724000000.0,771000000.0
Q4 2024,3882000000.0,871000000.0,482000000.0
Q1 2025,3736000000.0,806000000.0,709000000.0
Q2 2025,3059000000.0,-134000000.0,872000000.0
