quarter,cfoa,capex,fcf
Q2 2008,-4997000000,-456000000,-4541000000.0
Q3 2008,1757000000,183000000,1574000000.0
Q4 2008,1601000000,193000000,1408000000.0
Q1 2009,1112000000,160000000,952000000.0
Q2 2009,492000000,151000000,341000000.0
Q3 2009,2741000000,172000000,2569000000.0
Q4 2009,1280000000,256000000,1024000000.0
Q1 2010,1205000000,132000000,1073000000.0
Q2 2010,723000000,211000000,512000000.0
Q3 2010,2904000000,205000000,2699000000.0
Q4 2010,1441000000,330000000,1111000000.0
Q1 2011,1224000000,213000000,1011000000.0
Q2 2011,1195000000,303000000,892000000.0
Q3 2011,4964000000,290000000,4674000000.0
Q4 2011,-415000000,261000000,-676000000.0
Q1 2012,3586000000,269000000,3317000000.0
Q2 2012,2185000000,196000000,1989000000.0
Q3 2012,-298000000,321000000,-619000000.0
Q4 2012,1682000000,284000000,1398000000.0
Q1 2013,1053000000,323000000,730000000.0
Q2 2013,1474000000,302000000,1172000000.0
Q3 2013,3396000000,361000000,3035000000.0
Q4 2013,1068000000,321000000,747000000.0
Q1 2014,1408000000,353000000,1055000000.0
Q2 2014,1014000000,363000000,651000000.0
Q3 2014,3200000000,405000000,2795000000.0
Q4 2014,2429000000,404000000,2025000000.0
Q1 2015,2269000000,373000000,1896000000.0
Q2 2015,1163000000,343000000,820000000.0
Q3 2015,2797000000,356000000,2441000000.0
Q4 2015,3511000000,484000000,3027000000.0
Q1 2016,2318000000,425000000,1893000000.0
Q2 2016,1683000000,388000000,1295000000.0
Q3 2016,7203000000,407000000,6796000000.0
Q4 2016,-1409000000,485000000,-1894000000.0
Q1 2017,6456000000,507000000,5949000000.0
Q2 2017,2171000000,418000000,1753000000.0
Q3 2017,7546000000,466000000,7080000000.0
Q4 2017,-2577000000,632000000,-3209000000.0
Q1 2018,8369000000,477000000,7892000000.0
Q2 2018,4007000000,483000000,3524000000.0
Q3 2018,941000000,545000000,396000000.0
Q4 2018,2396000000,558000000,1838000000.0
Q1 2019,3234000000,562000000,2672000000.0
Q2 2019,5874000000,415000000,5459000000.0
Q3 2019,3150000000,444000000,2706000000.0
Q4 2019,6205000000,650000000,5555000000.0
Q1 2020,2943000000,469000000,2474000000.0
Q2 2020,10003000000,451000000,9552000000.0
Q3 2020,3127000000,557000000,2570000000.0
Q4 2020,6101000000,574000000,5527000000.0
Q1 2021,6005000000,568000000,5437000000.0
Q2 2021,5540000000,562000000,4978000000.0
Q3 2021,7580000000,629000000,6951000000.0
Q4 2021,3218000000,695000000,2523000000.0
Q1 2022,5319000000,555000000,4764000000.0
Q2 2022,6871000000,657000000,6214000000.0
Q3 2022,18549000000,724000000,17825000000.0
Q4 2022,-4533000000,866000000,-5399000000.0
Q1 2023,16327000000,760000000,15567000000.0
Q2 2023,11032000000,829000000,10203000000.0
Q3 2023,6902000000,838000000,6064000000.0
Q4 2023,-5193000000,959000000,-6152000000.0
Q1 2024,1144000000,743000000,401000000.0
Q2 2024,6746000000,853000000,5893000000.0
Q3 2024,13945000000,991000000,12954000000.0
Q4 2024,2369000000,912000000,1457000000.0
Q1 2025,5456000000,898000000,4558000000.0
Q2 2025,7188000000,886000000,6302000000.0
